groupins for DFSP,Sex,"Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)",Year of diagnosis sebaceous carcinoma,SEER registry,Age-Adjusted Rate,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Rate Ratio,Ratio Lower Confidence Interval,Ratio Upper Confidence Interval,Ratio P-Value,Population
20-29,Female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.01,0.01,0,0.04,1, , , , ,12509082
20-29,Female,Non-Hispanic White,2000-2021,Kentucky,0,~,0,0.07,0, , , , ,5370237
20-29,Female,Non-Hispanic White,2000-2021,Louisiana,0,~,0,0.09,0, , , , ,4025322
20-29,Female,Non-Hispanic White,2000-2021,New Jersey,0.02,0.02,0,0.09,1, , , , ,6052432
20-29,Female,Non-Hispanic White,2000-2021,Greater Georgia,0,~,0,0.07,0, , , , ,5476606
20-29,Female,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.61,0, , , , ,609105
20-29,Female,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.62,0, , , , ,599720
20-29,Female,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,5.7,0, , , , ,64670
20-29,Female,Non-Hispanic Black,2000-2021,Iowa,0,~,0,1.93,0, , , , ,192311
20-29,Female,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,5.57,0, , , , ,66606
20-29,Female,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.84,0, , , , ,441647
20-29,Female,Non-Hispanic Black,2000-2021,Utah,0,~,0,6.18,0, , , , ,60294
20-29,Female,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.15,0, , , , ,2482478
20-29,Female,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,3.41,0, , , , ,108399
20-29,Female,Non-Hispanic Black,2000-2021,Los Angeles,0,~,0,0.25,0, , , , ,1452593
20-29,Female,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,4.97,0, , , , ,74278
20-29,Female,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.22,0, , , , ,1715919
20-29,Female,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.62,0, , , , ,602717
20-29,Female,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.14,0, , , , ,2662172
20-29,Female,Non-Hispanic Black,2000-2021,New Jersey,0,~,0,0.19,0, , , , ,1926988
20-29,Female,Non-Hispanic Black,2000-2021,Greater Georgia,0,~,0,0.14,0, , , , ,2728230
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,14.9,0, , , , ,24847
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,29.57,0, , , , ,12483
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,52.92,0, , , , ,6989
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,20.72,0, , , , ,17916
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,1.13,0, , , , ,326708
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,3.2,0, , , , ,115419
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,6.05,0, , , , ,61112
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,26.61,0, , , , ,13868
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,1.93,0, , , , ,191637
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,24.65,0, , , , ,15056
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,7.86,0, , , , ,46998
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,1303.76,0, , , , ,295
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,1.48,0, , , , ,249889
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,26.34,0, , , , ,14046
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,7.31,0, , , , ,50527
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,15.31,0, , , , ,24138
20-29,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,14.2,0, , , , ,25976
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.21,0, , , , ,1833990
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,1.42,0, , , , ,267343
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0.08,0.08,0,0.45,1, , , , ,1265809
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,2.45,0, , , , ,151514
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,6.76,0, , , , ,55155
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0,~,0,0.37,0, , , , ,1007482
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,0,~,0,1.77,0, , , , ,208115
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0,~,0,0.9,0, , , , ,424892
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0,~,0,0.38,0, , , , ,1022163
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0,~,0,0.16,0, , , , ,2339952
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,442.62,0, , , , ,838
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0,~,0,0.1,0, , , , ,3519374
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,0,~,0,3.19,0, , , , ,116529
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,0,~,0,2.51,0, , , , ,147465
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0,~,0,0.33,0, , , , ,1161367
20-29,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,1.88,0, , , , ,195969
20-29,Female,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0,~,0,0.22,0, , , , ,1671875
20-29,Female,Hispanic (All Races),2000-2021,Connecticut,0,~,0,0.42,0, , , , ,871005
20-29,Female,Hispanic (All Races),2000-2021,Hawaii,0,~,0,1.66,0, , , , ,221964
20-29,Female,Hispanic (All Races),2000-2021,Iowa,0,~,0,1.35,0, , , , ,275378
20-29,Female,Hispanic (All Races),2000-2021,New Mexico,0,~,0,0.24,0, , , , ,1550509
20-29,Female,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,0.49,0, , , , ,760018
20-29,Female,Hispanic (All Races),2000-2021,Utah,0,~,0,0.56,0, , , , ,659166
20-29,Female,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,0.53,0, , , , ,697871
20-29,Female,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,41.56,0, , , , ,8880
20-29,Female,Hispanic (All Races),2000-2021,San Jose-Monterey,0,~,0,0.25,0, , , , ,1468906
20-29,Female,Hispanic (All Races),2000-2021,Los Angeles,0.01,0.01,0,0.06,1, , , , ,8578488
20-29,Female,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,59.86,0, , , , ,6201
20-29,Female,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0,~,0,0.03,0, , , , ,13439093
20-29,Female,Hispanic (All Races),2000-2021,Kentucky,0,~,0,1.68,0, , , , ,219222
20-29,Female,Hispanic (All Races),2000-2021,Louisiana,0,~,0,1.15,0, , , , ,320175
20-29,Female,Hispanic (All Races),2000-2021,New Jersey,0,~,0,0.14,0, , , , ,2673003
20-29,Female,Hispanic (All Races),2000-2021,Greater Georgia,0,~,0,0.51,0, , , , ,724431
20-29,Female,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,0, , , , ,0
20-29,Female,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0.02,0.02,0,0.09,1, , , , ,6397842
30-39,Male and female,Non-Hispanic White,2000-2021,Connecticut,0.02,0.02,0,0.08,1, , , , ,6600282
30-39,Male and female,Non-Hispanic White,2000-2021,Hawaii,0.12,0.12,0,0.65,1, , , , ,883273
30-39,Male and female,Non-Hispanic White,2000-2021,Iowa,0.01,0.01,0,0.08,1, , , , ,7253737
30-39,Male and female,Non-Hispanic White,2000-2021,New Mexico,0.1,0.07,0.01,0.35,2, , , , ,2056161
30-39,Male and female,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0.04,0.02,0.01,0.1,4, , , , ,10522337
30-39,Male and female,Non-Hispanic White,2000-2021,Utah,0.03,0.02,0,0.11,2, , , , ,6822813
30-39,Male and female,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0.02,0.02,0,0.12,1, , , , ,4622531
30-39,Male and female,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic White,2000-2021,San Jose-Monterey,0,~,0,0.13,0, , , , ,2820243
30-39,Male and female,Non-Hispanic White,2000-2021,Los Angeles,0.01,0.01,0,0.06,1, , , , ,9010271
30-39,Male and female,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,2.2,0, , , , ,167768
30-39,Male and female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.03,0.01,0.02,0.06,9, , , , ,26228390
30-39,Male and female,Non-Hispanic White,2000-2021,Kentucky,0.05,0.02,0.02,0.11,5, , , , ,10760911
30-39,Male and female,Non-Hispanic White,2000-2021,Louisiana,0.01,0.01,0,0.07,1, , , , ,7924740
30-39,Male and female,Non-Hispanic White,2000-2021,New Jersey,0.04,0.02,0.01,0.08,5, , , , ,13997506
30-39,Male and female,Non-Hispanic White,2000-2021,Greater Georgia,0.01,0.01,0,0.05,1, , , , ,11173470
30-39,Male and female,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0.08,0.08,0,0.45,1, , , , ,1189997
30-39,Male and female,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.33,0, , , , ,1122496
30-39,Male and female,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,2.9,0, , , , ,130003
30-39,Male and female,Non-Hispanic Black,2000-2021,Iowa,0,~,0,1.16,0, , , , ,321321
30-39,Male and female,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,2.95,0, , , , ,125698
30-39,Male and female,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.42,0, , , , ,891809
30-39,Male and female,Non-Hispanic Black,2000-2021,Utah,0,~,0,3.61,0, , , , ,103887
30-39,Male and female,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.08,0, , , , ,4753007
30-39,Male and female,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,1.61,0, , , , ,229846
30-39,Male and female,Non-Hispanic Black,2000-2021,Los Angeles,0.04,0.04,0,0.21,1, , , , ,2696651
30-39,Male and female,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,2.64,0, , , , ,139772
30-39,Male and female,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0.03,0.03,0,0.18,1, , , , ,3292339
30-39,Male and female,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.35,0, , , , ,1057988
30-39,Male and female,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.09,0, , , , ,4262695
30-39,Male and female,Non-Hispanic Black,2000-2021,New Jersey,0.03,0.03,0,0.15,1, , , , ,3710543
30-39,Male and female,Non-Hispanic Black,2000-2021,Greater Georgia,0.02,0.02,0,0.12,1, , , , ,4699462
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,7.02,0, , , , ,52694
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,14.32,0, , , , ,25797
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,30.16,0, , , , ,12305
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,12.09,0, , , , ,30634
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,0.67,0, , , , ,553887
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,1.77,0, , , , ,208823
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,3.9,0, , , , ,95739
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,14.6,0, , , , ,25289
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,1.14,0, , , , ,324476
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,13.06,0, , , , ,28358
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,3.99,0, , , , ,92596
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,773.37,0, , , , ,477
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,0.81,0, , , , ,454735
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,13.16,0, , , , ,28137
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,4.12,0, , , , ,89669
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,7.92,0, , , , ,46641
30-39,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,7.62,0, , , , ,48419
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.09,0, , , , ,4260490
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,0.6,0, , , , ,620190
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0,~,0,0.14,0, , , , ,2645515
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,1.43,0, , , , ,260926
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,3.11,0, , , , ,119383
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0,~,0,0.17,0, , , , ,2158875
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,0,~,0,1.09,0, , , , ,344558
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0,~,0,0.38,0, , , , ,976356
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0,~,0,0.14,0, , , , ,2707162
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0.02,0.02,0,0.11,1, , , , ,4837656
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,147.37,0, , , , ,2513
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0.03,0.02,0,0.1,2, , , , ,6997011
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,0,~,0,1.51,0, , , , ,245996
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,0,~,0,1.29,0, , , , ,289114
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0,~,0,0.12,0, , , , ,3103049
30-39,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,0.83,0, , , , ,446183
30-39,Male and female,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0.03,0.03,0,0.17,1, , , , ,3488914
30-39,Male and female,Hispanic (All Races),2000-2021,Connecticut,0,~,0,0.21,0, , , , ,1727300
30-39,Male and female,Hispanic (All Races),2000-2021,Hawaii,0,~,0,0.97,0, , , , ,383542
30-39,Male and female,Hispanic (All Races),2000-2021,Iowa,0,~,0,0.74,0, , , , ,505060
30-39,Male and female,Hispanic (All Races),2000-2021,New Mexico,0.07,0.05,0.01,0.26,2, , , , ,2784736
30-39,Male and female,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,0.25,0, , , , ,1519904
30-39,Male and female,Hispanic (All Races),2000-2021,Utah,0.09,0.09,0,0.49,1, , , , ,1201972
30-39,Male and female,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,0.23,0, , , , ,1609560
30-39,Male and female,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,27.04,0, , , , ,14013
30-39,Male and female,Hispanic (All Races),2000-2021,San Jose-Monterey,0,~,0,0.13,0, , , , ,2841409
30-39,Male and female,Hispanic (All Races),2000-2021,Los Angeles,0.03,0.01,0.01,0.07,4, , , , ,16260007
30-39,Male and female,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,24.78,0, , , , ,15212
30-39,Male and female,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0.01,0.01,0,0.03,2, , , , ,24931299
30-39,Male and female,Hispanic (All Races),2000-2021,Kentucky,0,~,0,0.78,0, , , , ,476684
30-39,Male and female,Hispanic (All Races),2000-2021,Louisiana,0,~,0,0.52,0, , , , ,713641
30-39,Male and female,Hispanic (All Races),2000-2021,New Jersey,0,~,0,0.06,0, , , , ,5760409
30-39,Male and female,Hispanic (All Races),2000-2021,Greater Georgia,0,~,0,0.24,0, , , , ,1562511
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,1, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,2, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,1, , , , ,0
30-39,Male and female,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
30-39,Male,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0.03,0.03,0,0.17,1, , , , ,3346025
30-39,Male,Non-Hispanic White,2000-2021,Connecticut,0,~,0,0.11,0, , , , ,3267599
30-39,Male,Non-Hispanic White,2000-2021,Hawaii,0,~,0,0.75,0, , , , ,490831
30-39,Male,Non-Hispanic White,2000-2021,Iowa,0.03,0.03,0,0.16,1, , , , ,3665273
30-39,Male,Non-Hispanic White,2000-2021,New Mexico,0.1,0.1,0,0.55,1, , , , ,1047962
30-39,Male,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0.02,0.02,0,0.1,1, , , , ,5396466
30-39,Male,Non-Hispanic White,2000-2021,Utah,0,~,0,0.11,0, , , , ,3467898
30-39,Male,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0.04,0.04,0,0.23,1, , , , ,2346069
30-39,Male,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male,Non-Hispanic White,2000-2021,San Jose-Monterey,0,~,0,0.25,0, , , , ,1499775
30-39,Male,Non-Hispanic White,2000-2021,Los Angeles,0,~,0,0.08,0, , , , ,4722325
30-39,Male,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,4.37,0, , , , ,84433
30-39,Male,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.03,0.01,0.01,0.07,4, , , , ,13425001
30-39,Male,Non-Hispanic White,2000-2021,Kentucky,0.08,0.04,0.02,0.19,4, , , , ,5372802
30-39,Male,Non-Hispanic White,2000-2021,Louisiana,0.03,0.03,0,0.14,1, , , , ,3990739
30-39,Male,Non-Hispanic White,2000-2021,New Jersey,0.03,0.02,0,0.1,2, , , , ,6985301
30-39,Male,Non-Hispanic White,2000-2021,Greater Georgia,0.02,0.02,0,0.1,1, , , , ,5575829
30-39,Male,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.64,0, , , , ,573621
30-39,Male,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.7,0, , , , ,530244
30-39,Male,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,4.64,0, , , , ,81001
30-39,Male,Non-Hispanic Black,2000-2021,Iowa,0,~,0,2.13,0, , , , ,174786
30-39,Male,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,5.03,0, , , , ,73682
30-39,Male,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.76,0, , , , ,488841
30-39,Male,Non-Hispanic Black,2000-2021,Utah,0,~,0,5.87,0, , , , ,63806
30-39,Male,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.17,0, , , , ,2137119
30-39,Male,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
30-39,Male,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,2.78,0, , , , ,133464
30-39,Male,Non-Hispanic Black,2000-2021,Los Angeles,0,~,0,0.29,0, , , , ,1266665
30-39,Male,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,5.34,0, , , , ,69255
30-39,Male,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.21,0, , , , ,1780256
30-39,Male,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.69,0, , , , ,539696
30-39,Male,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.19,0, , , , ,1996754
30-39,Male,Non-Hispanic Black,2000-2021,New Jersey,0.05,0.05,0,0.31,1, , , , ,1748174
30-39,Male,Non-Hispanic Black,2000-2021,Greater Georgia,0,~,0,0.17,0, , , , ,2189474
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,13.99,0, , , , ,26437
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,28.37,0, , , , ,13011
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,57.81,0, , , , ,6442
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,24.43,0, , , , ,15176
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,1.37,0, , , , ,270674
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,3.6,0, , , , ,103030
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,7.93,0, , , , ,47282
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,31.04,0, , , , ,11905
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,2.25,0, , , , ,164930
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,24.25,0, , , , ,15304
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,8.07,0, , , , ,45807
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,1532.78,0, , , , ,242
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,1.63,0, , , , ,226558
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,25.59,0, , , , ,14542
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,8.26,0, , , , ,44758
30-39,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,16.11,0, , , , ,22995
